Genes,CTRL_IgG_1,CTRL_IgG_2,TERT_IR_1,TERT_IR_2
PIBF1,1.376616895,1.412030122,1.453057889,1.329680971
UTP18,1.34288067,2.029281115,3.949768029,4.093320276
SFN,1.006353257,1.66788962,4.929811517,4.201000771
BMS1,1.454126637,2.648387628,3.808759323,3.435729943
PDCD11,0.978326434,1.579037005,3.77471877,3.34576847
H2AFY,1.266342922,1.385618895,4.180663471,3.587582692
IGF2BP1,3.091545115,3.653643212,5.806300723,5.730209163
RAB35,3.632976705,3.34445951,4.646439942,4.510057281
UBA1,2.059689203,2.348014002,4.108504732,3.884577329
LSG1,1.995986271,1.141522718,3.333743575,3.161785373
DDB1,2.010198747,1.584076625,4.642910527,4.51333933
EBNA1BP2,1.418094736,1.486212135,1.746011619,3.558550271
CDH2,1.638676484,1.917957571,3.895132857,3.693661184
PCNA,3.279868549,3.347295242,4.75502755,4.73566127
ARHGEF2,1.672275801,1.863358787,3.786693108,3.755947862
MTHFD1,2.022829199,2.610292979,4.40759779,4.228569162
PES1,1.7637299,1.341872324,3.832945719,3.83335523
AP2A2,1.608118572,1.274134372,3.588664413,3.246686012
EIF2AK2,0.881558594,1.340330445,4.067166115,3.959963976
TRIOBP,2.079678204,1.759066524,3.80317265,2.108887779
KHDRBS1,3.795984035,2.382997688,5.987077485,5.861504007
RPS23,5.234810639,4.402255337,5.896317092,5.996489847
